week,vendor,snap_total,dufb_total,wdfm_total,reported_sales
02_15_2025,Remedy Design Shop,0,0,0,500
02_15_2025,Rocky Gutter Homestead,0,0,0,675
02_15_2025,Round Rock Honey,7,0,0,384
02_15_2025,Shar's Plants & Jewelry,0,0,0,204
02_15_2025,Sison Tacos,0,0,0,400
02_15_2025,Southern Sisters Soaps,0,0,0,652
02_15_2025,Symphony Candle Co.,0,0,0,205
02_15_2025,Teresita's Birria,0,0,0,500
02_15_2025,TLC Farms,0,0,0,625
02_15_2025,Tres Manos Coffee,0,0,13,448
02_15_2025,Valley Mills Vineyards,0,0,0,465
02_15_2025,World Hunger Relief,0,17,0,639
02_15_2025,Yallatizers,8,0,15,1600
02_15_2025,Yield Here Farms,0,0,0,100
02_15_2025,Zandartistry,0,0,0,410
02_15_2025,Alba's Pupusas,0,0,100,200
02_15_2025,Alili Bold Accessories,0,0,0,140
02_15_2025,Anthem Stories,0,0,0,55
02_15_2025,ATX Jerky,58,0,0,766
02_15_2025,Audrey's Pawstries,0,0,0,0
02_15_2025,Bonnet Farm,7,37,0,700
02_15_2025,Bud's Lemonade,0,0,10,321
02_15_2025,Brazos Valley Cheese,0,0,0,2150
02_15_2025,Broken Grain Baking Co.,64,0,0,1500
02_15_2025,C323 Woodworking,0,0,0,600
02_15_2025,Cha Community,0,0,0,0
02_15_2025,Chapultepec Farm,0,0,0,523
02_15_2025,Chef Flaco's Salsa,0,0,0,800
02_15_2025,Churros la Catrina,0,0,0,950
02_15_2025,Copperhead Creek Jewelry,0,0,0,330
02_15_2025,Don't Eat Beads,0,0,0,220
02_15_2025,Dresden Specialty Meats,0,0,0,800
02_15_2025,Flora House,0,0,0,325
02_15_2025,Fruits of Life,0,0,0,173
02_15_2025,For Keeps Coffee,0,0,0,203
02_15_2025,Foundations Farm,22,0,0,275
02_15_2025,Hay Ewe Ranch LLC,0,0,0,38
02_15_2025,Heritage Coffee,0,0,0,801
02_15_2025,Heritage Food Crafters,0,0,0,835
02_15_2025,Home Fries Cafe,0,0,0,0
02_15_2025,Hutto Soap & Candle Co,0,0,0,180
02_15_2025,Iron Bridge Coffee,0,0,0,290
02_15_2025,Katharos Baking Co,0,0,0,625
02_15_2025,Knots with Sofia,0,0,0,0
02_15_2025,Kurbside Coffee,0,0,0,456
02_15_2025,Little Bexar Farm,0,87,0,1500
02_15_2025,Luna Clean Food Cafe,0,0,0,420
02_15_2025,Macabre Maven,0,0,0,161
02_15_2025,Mama D's Pickles and Jams,49,0,75,250
02_15_2025,Mike's Makes,5,0,0,650
02_15_2025,The Moody Goat,0,0,30,180
02_15_2025,Muchos Tacos,0,0,20,2258
02_15_2025,No Label Mushrooms,0,0,0,1216
02_15_2025,Norma's Florals,0,0,0,240
02_15_2025,Ohana Freeze Dried Market,0,0,0,522
02_15_2025,Passion Gardens,0,0,0,200
02_15_2025,Quesadilla Factory,0,0,0,850
02_15_2025,Rancho Martinez Kitchen,0,0,10,670
02_15_2025,Remedy Design Shop,0,0,0,500
02_15_2025,Rocky Gutter Homestead,0,0,0,675
02_15_2025,Round Rock Honey,7,0,0,384
02_15_2025,Shar's Plants & Jewelry,0,0,0,204
02_15_2025,Sison Tacos,0,0,0,400
02_15_2025,Southern Sisters Soaps,0,0,0,652
02_15_2025,Symphony Candle Co.,0,0,0,205
02_15_2025,Teresita's Birria,0,0,0,500
02_15_2025,TLC Farms,0,0,0,625
02_15_2025,Tres Manos Coffee,0,0,13,448
02_15_2025,Valley Mills Vineyards,0,0,0,465
02_15_2025,World Hunger Relief,0,17,0,639
02_15_2025,Yallatizers,8,0,15,1600
02_15_2025,Yield Here Farms,0,0,0,100
02_15_2025,Zandartistry,0,0,0,410
2_1_2025,Alba's Pupusas,0,0,195,415
2_1_2025,Alili Bold Accessories,0,0,0,105
2_1_2025,Anthem Stories,0,0,0,364.2
2_1_2025,ATX Jerky,0,0,0,1392
2_1_2025,Audrey's Pawstries,0,0,0,315
2_1_2025,Bonnet Farm,12,34,15,800
2_1_2025,Brazos Valley Cheese,0,0,0,2500
2_1_2025,Broken Grain Baking Co.,71,0,0,1850
2_1_2025,Cha Community,0,0,25,1200
2_1_2025,Chapultepec Farm,224,0,0,1269
2_1_2025,Chef Flaco's Salsa,0,0,0,900
2_1_2025,Churros la Catrina,0,0,0,1000
2_1_2025,Don't Eat Beads,0,0,0,156
2_1_2025,Dresden Specialty Meats,87,0,0,1600
2_1_2025,Flora House,0,0,0,675
2_1_2025,Fruits of Life,0,0,2,516
2_1_2025,For Keeps Coffee,0,0,0,370
2_1_2025,Foundations Farm,24,0,0,303
2_1_2025,Hanhart Homestead,0,0,0,200
2_1_2025,Hay Ewe Ranch LLC,0,8,0,72
2_1_2025,Heritage Coffee,0,0,0,975
2_1_2025,Heritage Food Crafters,0,0,0,1000
2_1_2025,Home Fries Cafe,0,0,0,498
2_1_2025,Hutto Soap & Candle Co,0,0,0,615
2_1_2025,Iron Bridge Coffee,0,0,0,410
2_1_2025,Kurbside Coffee,0,0,0,709
2_1_2025,Luna Clean Food Cafe,0,0,0,580
2_1_2025,Macabre Maven,0,0,0,166
2_1_2025,Mama D's Pickles and Jams,7,0,83,340
2_1_2025,Mike's Makes,0,0,0,0
2_1_2025,The Moody Goat,0,0,0,295
2_1_2025,Muchos Tacos,0,0,0,2800
2_1_2025,Newton's Luxe Pantry,0,0,0,642
2_1_2025,No Label Mushrooms,0,34,0,1252
2_1_2025,Norma's Florals,0,0,0,331
2_1_2025,Ohana Freeze Dried Market,25,0,0,991
2_1_2025,Passion Gardens,0,0,0,200
2_1_2025,Quesadilla Factory,0,0,20,1700
2_1_2025,Remedy Design Shop,0,0,0,2400
2_1_2025,Rocky Gutter Homestead,0,0,0,1150
2_1_2025,Round Rock Honey,0,0,22,275
2_1_2025,Shar's Plants & Jewelry,0,0,0,322
2_1_2025,Sison Tacos,0,0,31,590
2_1_2025,Southern Sisters Soaps,0,0,0,854
2_1_2025,TLC Farms,0,0,0,1150
2_1_2025,Tres Manos Coffee,0,0,8,336
2_1_2025,Valley Mills Vineyards,0,0,0,326
2_1_2025,Violette Bakery,0,0,0,700
2_1_2025,World Hunger Relief,0,4,0,511
2_1_2025,Yallatizers,39,0,0,2000
2_1_2025,Yield Here Farms,0,0,0,100
2_1_2025,Alba's Pupusas,0,0,195,415
2_1_2025,Alili Bold Accessories,0,0,0,105
2_1_2025,Anthem Stories,0,0,0,364.2
2_1_2025,ATX Jerky,0,0,0,1392
2_1_2025,Audrey's Pawstries,0,0,0,315
2_1_2025,Bonnet Farm,12,34,15,800
2_1_2025,Brazos Valley Cheese,0,0,0,2500
2_1_2025,Broken Grain Baking Co.,71,0,0,1850
2_1_2025,Cha Community,0,0,25,1200
2_1_2025,Chapultepec Farm,224,0,0,1269
2_1_2025,Chef Flaco's Salsa,0,0,0,900
2_1_2025,Churros la Catrina,0,0,0,1000
2_1_2025,Don't Eat Beads,0,0,0,156
2_1_2025,Dresden Specialty Meats,87,0,0,1600
2_1_2025,Flora House,0,0,0,675
2_1_2025,Fruits of Life,0,0,2,516
2_1_2025,For Keeps Coffee,0,0,0,370
2_1_2025,Foundations Farm,24,0,0,303
2_1_2025,Hanhart Homestead,0,0,0,200
2_1_2025,Hay Ewe Ranch LLC,0,8,0,72
2_1_2025,Heritage Coffee,0,0,0,975
2_1_2025,Heritage Food Crafters,0,0,0,1000
2_1_2025,Home Fries Cafe,0,0,0,498
2_1_2025,Hutto Soap & Candle Co,0,0,0,615
2_1_2025,Iron Bridge Coffee,0,0,0,410
2_1_2025,Kurbside Coffee,0,0,0,709
2_1_2025,Luna Clean Food Cafe,0,0,0,580
2_1_2025,Macabre Maven,0,0,0,166
2_1_2025,Mama D's Pickles and Jams,7,0,83,340
2_1_2025,Mike's Makes,0,0,0,0
2_1_2025,The Moody Goat,0,0,0,295
2_1_2025,Muchos Tacos,0,0,0,2800
2_1_2025,Newton's Luxe Pantry,0,0,0,642
2_1_2025,No Label Mushrooms,0,34,0,1252
2_1_2025,Norma's Florals,0,0,0,331
2_1_2025,Ohana Freeze Dried Market,25,0,0,991
2_1_2025,Passion Gardens,0,0,0,200
2_1_2025,Quesadilla Factory,0,0,20,1700
2_1_2025,Remedy Design Shop,0,0,0,2400
2_1_2025,Rocky Gutter Homestead,0,0,0,1150
2_1_2025,Round Rock Honey,0,0,22,275
2_1_2025,Shar's Plants & Jewelry,0,0,0,322
2_1_2025,Sison Tacos,0,0,31,590
2_1_2025,Southern Sisters Soaps,0,0,0,854
2_1_2025,TLC Farms,0,0,0,1150
2_1_2025,Tres Manos Coffee,0,0,8,336
2_1_2025,Valley Mills Vineyards,0,0,0,326
2_1_2025,Violette Bakery,0,0,0,700
2_1_2025,World Hunger Relief,0,4,0,511
2_1_2025,Yallatizers,39,0,0,2000
2_1_2025,Yield Here Farms,0,0,0,100
2_22_2025,Alba's Pupusas,0,0,122,285
2_22_2025,Alili Bold Accessories,0,0,0,320
2_22_2025,ATX Jerky,0,0,0,1123
2_22_2025,Audrey's Pawstries,0,0,0,325
2_22_2025,Bonnet Farm,31,4,0,700
2_22_2025,Brazos Valley Cheese,0,0,0,2496
2_22_2025,Broken Grain Baking Co.,10,0,0,1500
2_22_2025,Bud's Lemonade,0,0,0,208
2_22_2025,Cha Community,0,0,0,850
2_22_2025,Chapultepec Farm,0,0,0,577
2_22_2025,Chef Flaco's Salsa,11,0,0,900
2_22_2025,Clay by Denae,0,0,0,592
2_22_2025,Designs with Jamie,0,0,0,497
2_22_2025,Don't Eat Beads,0,0,0,498
2_22_2025,Dresden Specialty Meats,140,0,0,800
2_22_2025,Fruits of Life,0,0,0,566
2_22_2025,Ganske Farms,40,0,5,1175
2_22_2025,Handmade Waco,0,0,0,307
2_22_2025,Hay Ewe Ranch LLC,0,8,0,91
2_22_2025,Heritage Coffee,0,0,0,845
2_22_2025,Heritage Food Crafters,0,0,0,1200
2_22_2025,Hutto Soap & Candle Co,0,0,20,549
2_22_2025,Iron Bridge Coffee,0,0,0,387
2_22_2025,Katharos Baking Co,0,0,0,850
2_22_2025,Kurbside Coffee,0,0,0,654
2_22_2025,Le's Kitchen,0,0,0,562
2_22_2025,Luna Clean Food Cafe,0,0,0,560
2_22_2025,Mike's Makes,0,0,15,730
2_22_2025,The Moody Goat,10,0,0,180
2_22_2025,Muchos Tacos,0,0,15,2700
2_22_2025,No Label Mushrooms,12,26,0,1450
2_22_2025,Ohana Freeze Dried Market,0,0,0,936
2_22_2025,Pink Cheeks Studio,0,0,0,486
2_22_2025,Quesadilla Factory,0,0,0,1060
2_22_2025,Rancho Martinez Kitchen,0,0,0,677
2_22_2025,Remedy Design Shop,0,0,0,960
2_22_2025,Rocky Gutter Homestead,15,0,30,790
2_22_2025,Round Rock Honey,0,0,0,300
2_22_2025,Shar's Plants & Jewelry,0,0,0,254
2_22_2025,Southern Sisters Soaps,0,0,0,840
2_22_2025,Sweet & Sourdough,24,0,0,295
2_22_2025,Teresita's Birria,0,0,0,309
2_22_2025,TLC Farms,0,0,0,700
2_22_2025,Tres Manos Coffee,0,0,0,529
2_22_2025,Valley Mills Vineyards,0,0,0,272
2_22_2025,Violette Bakery,0,0,0,575
2_22_2025,World Hunger Relief,0,34,0,428
2_22_2025,Yallatizers,8,0,0,1700
2_22_2025,Yield Here Farms,0,0,0,284
2_22_2025,Alba's Pupusas,0,0,122,285
2_22_2025,Alili Bold Accessories,0,0,0,320
2_22_2025,ATX Jerky,0,0,0,1123
2_22_2025,Audrey's Pawstries,0,0,0,325
2_22_2025,Bonnet Farm,31,4,0,700
2_22_2025,Brazos Valley Cheese,0,0,0,2496
2_22_2025,Broken Grain Baking Co.,10,0,0,1500
2_22_2025,Bud's Lemonade,0,0,0,208
2_22_2025,Cha Community,0,0,0,850
2_22_2025,Chapultepec Farm,0,0,0,577
2_22_2025,Chef Flaco's Salsa,11,0,0,900
2_22_2025,Clay by Denae,0,0,0,592
2_22_2025,Designs with Jamie,0,0,0,497
2_22_2025,Don't Eat Beads,0,0,0,498
2_22_2025,Dresden Specialty Meats,140,0,0,800
2_22_2025,Fruits of Life,0,0,0,566
2_22_2025,Ganske Farms,40,0,5,1175
2_22_2025,Handmade Waco,0,0,0,307
2_22_2025,Hay Ewe Ranch LLC,0,8,0,91
2_22_2025,Heritage Coffee,0,0,0,845
2_22_2025,Heritage Food Crafters,0,0,0,1200
2_22_2025,Hutto Soap & Candle Co,0,0,20,549
2_22_2025,Iron Bridge Coffee,0,0,0,387
2_22_2025,Katharos Baking Co,0,0,0,850
2_22_2025,Kurbside Coffee,0,0,0,654
2_22_2025,Le's Kitchen,0,0,0,562
2_22_2025,Luna Clean Food Cafe,0,0,0,560
2_22_2025,Mike's Makes,0,0,15,730
2_22_2025,The Moody Goat,10,0,0,180
2_22_2025,Muchos Tacos,0,0,15,2700
2_22_2025,No Label Mushrooms,12,26,0,1450
2_22_2025,Ohana Freeze Dried Market,0,0,0,936
2_22_2025,Pink Cheeks Studio,0,0,0,486
2_22_2025,Quesadilla Factory,0,0,0,1060
2_22_2025,Rancho Martinez Kitchen,0,0,0,677
2_22_2025,Remedy Design Shop,0,0,0,960
2_22_2025,Rocky Gutter Homestead,15,0,30,790
2_22_2025,Round Rock Honey,0,0,0,300
2_22_2025,Shar's Plants & Jewelry,0,0,0,254
2_22_2025,Southern Sisters Soaps,0,0,0,840
2_22_2025,Sweet & Sourdough,24,0,0,295
2_22_2025,Teresita's Birria,0,0,0,309
2_22_2025,TLC Farms,0,0,0,700
2_22_2025,Tres Manos Coffee,0,0,0,529
2_22_2025,Valley Mills Vineyards,0,0,0,272
2_22_2025,Violette Bakery,0,0,0,575
2_22_2025,World Hunger Relief,0,34,0,428
2_22_2025,Yallatizers,8,0,0,1700
2_22_2025,Yield Here Farms,0,0,0,284
2_8_2025,Alba's Pupusas,0,0,282,520
2_8_2025,Alili Bold Accessories,0,0,0,280
2_8_2025,ATX Jerky,30,0,0,1809
2_8_2025,Audrey's Pawstries,0,0,0,415
2_8_2025,Bonnet Farm,4,31,11,750
2_8_2025,Bud's Lemonade,0,0,10,996
2_8_2025,Brazos Valley Cheese,0,0,0,2850
2_8_2025,Broken Grain Baking Co.,55,0,0,3100
2_8_2025,C323 Woodworking,0,0,0,500
2_8_2025,Cha Community,0,0,0,1500
2_8_2025,Chapultepec Farm,0,0,0,786
2_8_2025,Chef Flaco's Salsa,18,0,0,1300
2_8_2025,Clay by Denae,0,0,0,573
2_8_2025,Copperhead Creek Jewelry,0,0,0,390
2_8_2025,Designs with Jamie,0,0,0,836
2_8_2025,Don't Eat Beads,0,0,0,560
2_8_2025,Dresden Specialty Meats,0,0,20,1000
2_8_2025,Elisa Morse,0,0,0,865
2_8_2025,Flora House,0,0,0,780
2_8_2025,Fruits of Life,0,0,0,719
2_8_2025,For Keeps Coffee,0,0,0,517
2_8_2025,Handmade Waco,0,0,0,371
2_8_2025,Hay Ewe Ranch LLC,11,22,0,122
2_8_2025,Heritage Coffee,0,0,0,1237
2_8_2025,Heritage Food Crafters,30,0,0,1200
2_8_2025,Hutto Soap & Candle Co,0,0,0,644
2_8_2025,Kurbside Coffee,0,0,0,858
2_8_2025,Le's Kitchen,0,0,20,1300
2_8_2025,Little Threads by Emily,0,0,0,575
2_8_2025,Luna Clean Food Cafe,0,0,0,1080
2_8_2025,Macabre Maven,0,0,0,295
2_8_2025,Mama D's Pickles and Jams,0,0,252,450
2_8_2025,Mike's Makes,6,0,0,915
2_8_2025,The Moody Goat,0,0,0,250
2_8_2025,Muchos Tacos,0,0,0,4051
2_8_2025,the New Plate,0,0,0,300
2_8_2025,No Label Mushrooms,0,15,0,1450
2_8_2025,Norma's Florals,0,0,0,673
2_8_2025,Ohana Freeze Dried Market,0,0,0,1375
2_8_2025,Passion Gardens,0,0,0,230
2_8_2025,Pink Cheeks Studio,0,0,0,825
2_8_2025,Quesadilla Factory,0,0,0,1907
2_8_2025,Rancho Martinez Kitchen,0,0,0,735
2_8_2025,Remedy Design Shop,0,0,0,1600
2_8_2025,Rocky Gutter Homestead,0,0,20,1235
2_8_2025,Round Rock Honey,0,0,0,600
2_8_2025,Shar's Plants & Jewelry,0,0,0,244
2_8_2025,Sison Tacos,0,0,0,1000
